PKLocNb;NPA;LocName
1;8355;Aadorf
2;5000;Aarau
3;5001;Aarau
4;5004;Aarau
5;5000;Aarau 1 Briefausgabe
6;5000;Aarau 3
7;5001;Aarau KPD
8;3270;Aarberg
9;4663;Aarburg
10;4912;Aarwangen
11;8607;Aathal-Seegräben
12;8522;Aawangen
13;1657;Abländschen
14;5646;Abtwil AG
15;9030;Abtwil SG
16;3725;Achseten
17;1123;Aclens
18;6716;Acquarossa
19;3715;Adelboden
20;8345;Adetswil
21;6043;Adligenswil
22;8452;Adlikon b. Andelfingen
23;8106;Adlikon b. Regensdorf
24;8134;Adliswil
25;8134;Adliswil 1
26;8134;Adliswil 2
27;4714;Aedermannsdorf
28;3426;Aefligen
29;2558;Aegerten
30;8904;Aesch b. Birmensdorf
31;8412;Aesch b. Neftenbach
32;4147;Aesch BL
33;6287;Aesch LU
34;3536;Aeschau
35;3703;Aeschi b. Spiez
36;4556;Aeschi SO
37;3703;Aeschiried
38;3516;Aeschlen b. Oberdiessbach
39;3656;Aeschlen ob Gunten
40;4583;Aetigkofen
41;4587;Aetingen
42;5645;Aettenschwil
43;8914;Aeugst am Albis
44;8920;Aeugstertal
45;7250;Aeuja
46;9556;Affeltrangen
47;8910;Affoltern am Albis
48;3416;Affoltern im Emmental
49;3951;Agarn
50;6597;Agarone
51;8308;Agasul
52;1352;Agiez
53;6982;Agno
54;6927;Agra
55;3216;Agriswil
56;1860;Aigle
57;1219;Aïre
58;1219;Aïre Cases
59;1288;Aire-la-Ville
60;6780;Airolo
61;6781;Airolo Sortite
62;6248;Alberswil
63;1669;Albeuve
64;3941;Albinen
65;3183;Albligen
66;6962;Albonago
67;3422;Alchenflüh
68;3473;Alchenstorf
69;6974;Aldesago
70;9249;Algetshausen
71;5643;Alikon
72;6781;All'Acqua
73;1165;Allaman
74;2942;Alle
75;6319;Allenwinden
76;4615;Allerheiligenberg
77;3112;Allmendingen b. Bern
78;4123;Allschwil
79;4123;Allschwil 1
80;4123;Allschwil 2
81;4123;Allschwil 3
82;7416;Almens
83;6315;Alosen
84;7710;Alp Grüm
85;6055;Alpnach Dorf
86;6053;Alpnachstad
87;8849;Alpthal
88;9656;Alt St. Johann
89;3280;Altavilla
90;6147;Altbüron
91;8243;Altdorf SH
92;6460;Altdorf UR
93;8453;Alten
94;8852;Altendorf
95;9423;Altenrhein
96;1715;Alterswil FR
97;8573;Alterswilen
98;8479;Altikon
99;8573;Altishausen
100;6246;Altishofen
101;8595;Altnau
102;9450;Altstätten SG
103;6286;Altwis
104;7473;Alvaneu Bad
105;7492;Alvaneu Dorf
106;7451;Alvaschein
107;7447;Am Bach (Avers)
108;6775;Ambri
109;8873;Amden
110;3962;Aminona
111;8515;Amlikon
112;4573;Ammannsegg
113;5600;Ammerswil AG
114;3257;Ammerzwil BE
115;8580;Amriswil
116;3633;Amsoldingen
117;6474;Amsteg
118;7440;Andeer
119;8450;Andelfingen
120;6490;Andermatt
121;8572;Andhausen
122;7159;Andiast
123;9204;Andwil SG
124;8586;Andwil TG
125;5611;Anglikon (Wohlen AG)
126;1247;Anières
127;4469;Anwil
128;1972;Anzère
129;6748;Anzonico
130;9050;Appenzell
131;1143;Apples
132;1994;Aproz
133;6711;Aquila
134;1603;Aran
135;6994;Aranno
136;1974;Arbaz
137;6517;Arbedo
138;4424;Arboldswil
139;9320;Arbon
140;6618;Arcegno
141;3296;Arch
142;1732;Arconciel
143;7546;Ardez
144;1957;Ardon
145;2015;Areuse
146;7104;Arezen
147;4422;Arisdorf
148;5628;Aristau
149;4144;Arlesheim
150;9212;Arnegg
151;1277;Arnex-sur-Nyon
152;1321;Arnex-sur-Orbe
153;8905;Arni AG
154;3508;Arni BE
155;8905;Arni-Islisberg
156;6822;Arogno
157;1986;Arolla
158;7050;Arosa
159;6939;Arosio
160;1462;Arrissoules
161;6415;Arth
162;1884;Arveyes
163;6543;Arvigo
164;1273;Arzier
165;6864;Arzo
166;7245;Ascharina
167;6612;Ascona
168;5025;Asp
169;1042;Assens
170;6999;Astano
171;2954;Asuel
172;1285;Athenaz (Avusy)
173;1616;Attalens
174;5056;Attelwil
175;6468;Attinghausen
176;4536;Attiswil
177;9434;Au SG
178;8376;Au TG
179;8804;Au ZH
180;1170;Aubonne
181;1673;Auboranges
182;5105;Auenstein
183;6547;Augio
184;4302;Augst BL
185;1484;Aumont
186;6611;Auressio
187;6671;Aurigeno
188;8331;Auslikon
189;3938;Ausserberg
190;3995;Ausserbinn
191;7444;Ausserferrera
192;4944;Auswil
193;1782;Autafond
194;1569;Autavaux
195;1742;Autigny
196;2012;Auvernier
197;5644;Auw
198;6670;Avegno
199;1976;Aven
200;1580;Avenches
201;1754;Avry-Centre FR
202;1644;Avry-devant-Pont
203;1754;Avry-sur-Matran
204;1237;Avully
205;3855;Axalp
206;1966;Ayent
207;3961;Ayer
208;9478;Azmoos
209;6340;Baar
210;6341;Baar
211;6342;Baar
212;1994;Baar (Nendaz)
213;6340;Baar 1
214;6349;Baar Kurfürst AG
215;8806;Bäch SZ
216;8184;Bachenbülach
217;9128;Bächli (Hemberg)
218;8164;Bachs
219;6213;Bad Knutwil
220;7310;Bad Ragaz
221;5400;Baden
222;5401;Baden
223;5402;Baden
224;5403;Baden
225;5404;Baden
226;5405;Baden
227;5406;Baden
228;5400;Baden 1
229;6283;Baldegg
230;8439;Baldingen
231;7317;Balen-Gassaura
232;6828;Balerna
233;9436;Balgach
234;1338;Ballaigues
235;1144;Ballens
236;3304;Ballmoos
237;6275;Ballwil
238;4525;Balm b. Günsberg
239;3254;Balm b. Messen
240;4710;Balsthal
241;8362;Balterswil
242;3937;Baltschieder
243;9496;Balzers
244;6981;Banco
245;3256;Bangerten b. Dieterswil
246;4913;Bannwil
247;3552;Bärau
248;6917;Barbengo
249;6917;Barbengo Paese
250;1783;Barberêche
251;1882;Barboleusaz
252;8344;Bäretswil
253;3282;Bargen BE
254;8233;Bargen SH
255;3323;Bäriswil BE
256;5017;Barmelweid
